x;y;sm-code;placename;habitat;habitat-code
5.573187;45.209235;SMA11316;L'Achard;semi-open;4
5.527775;45.158422;SMA 11307;Les Vernes;open;5
5.483914;45.047389;SMA11688;Château-Julien;clearing;3
5.491275;45.040403;SMA11455;Malaterre;dense forest;1
45.108484;5.509110;SMA11565;Les Narses;clear forest;2
