BIOAC;HT;HF;H;ACI;NDSI;ADI;NP;FILE;START;SM
18,06360503;0,969791955;0,977418487;0,947892585;4468,187208;-0,252443853;1,252774;7;SMA11307_20260905_120000.wav;05/09/2026 12:00;SMA11307
15,49043583;0,967293966;0,977775135;0,945795988;4486,647569;-0,261639782;0,978948;4;SMA11307_20260905_130000.wav;05/09/2026 13:00;SMA11307
16,42918746;0,96792832;0,980030659;0,948599429;4487,68599;-0,257076152;1,11029;1;SMA11307_20260905_140000.wav;05/09/2026 14:00;SMA11307
16,48017316;0,962155162;0,980357873;0,943256388;4477,582559;-0,217007252;1,419343;2;SMA11307_20260905_150000.wav;05/09/2026 15:00;SMA11307
16,5548182;0,962583557;0,97467444;0,938205589;4493,862771;-0,374112623;1,054475;1;SMA11307_20260905_160000.wav;05/09/2026 16:00;SMA11307
18,01807489;0,969634877;0,9729617;0,943417598;4470,458304;-0,542307888;1,561812;1;SMA11307_20260905_170000.wav;05/09/2026 17:00;SMA11307
19,01645465;0,963164329;0,973266003;0,937415097;4500,130723;-0,403710486;1,24201;3;SMA11307_20260905_180000.wav;05/09/2026 18:00;SMA11307
20,38119018;0,962465284;0,932542697;0,897539972;4462,479197;-0,872586812;1,333275;1;SMA11307_20260905_190000.wav;05/09/2026 19:00;SMA11307
19,69483809;0,971971122;0,933657326;0,907487959;4608,646705;-0,728552717;1,338497;4;SMA11307_20260905_200000.wav;05/09/2026 20:00;SMA11307
20,02175553;0,967603519;0,945758515;0,915119267;4826,812994;-0,283381095;2,178327;12;SMA11307_20260905_210000.wav;05/09/2026 21:00;SMA11307
14,70881154;0,942783713;0,921620782;0,868889062;4402,926667;-0,74381171;1,234913;1;SMA11307_20260905_220000.wav;05/09/2026 22:00;SMA11307
14,93940534;0,963695255;0,918483617;0,885138304;4366,061547;-0,710238903;1,359523;4;SMA11307_20260905_230000.wav;05/09/2026 23:00;SMA11307
11,81980527;0,967011555;0,912054757;0,881967489;4363,927731;-0,729474541;1,893015;1;SMA11307_20260906_000000.wav;06/09/2026;SMA11307
11,56072216;0,969795548;0,942414051;0,913948951;4389,829791;-0,658101719;2,106096;3;SMA11307_20260906_010000.wav;06/09/2026 01:00;SMA11307
8,419515376;0,983835817;0,940869768;0,925661377;4338,245546;-0,188478264;2,320688;10;SMA11307_20260906_020000.wav;06/09/2026 02:00;SMA11307
7,497450518;0,983079565;0,948090901;0,93204879;4360,385506;-0,037782139;2,461293;0;SMA11307_20260906_030000.wav;06/09/2026 03:00;SMA11307
